"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_id","Answer.survey code","Approve","Reject"
"3GMLHYZ0LESNBW0DHNENEFR7IRCUYY","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3DUZQ9U6SNJSE9BYD914GZ1CNAZSVW","A1B5SSGMTAQ9B5","Approved","Sun Apr 28 13:09:10 PDT 2019","Sun Apr 28 13:34:42 PDT 2019","Sun May 05 13:34:42 PDT 2019","Sun Apr 28 16:02:41 PDT 2019","","","1532","100% (1/1)","100% (1/1)","100% (1/1)","000000580238","8b9852a6-1eb5-1a1f-aae2-c2b9556e0cb8"
"30U1YOGZGAR4Y8DIWMW9MTZIF6LSD8","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","358UUM7WR0YE24APGMYJKBGDFQX7RJ","A226DG3738FNDH","Approved","Sun Apr 28 11:36:29 PDT 2019","Sun Apr 28 11:54:38 PDT 2019","Sun May 05 11:54:38 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","1089","100% (1/1)","100% (1/1)","100% (1/1)","000000571694","7be55af2-b14d-09a3-6e48-56051f9ab598"
"388FBO7JZROAG6G4KM210KZDAVJNYZ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3QAVNHZ3ENZLI8DAI5D78Q94A6DLAX","A8RDXT4ZILHQT","Approved","Sun Apr 28 11:30:59 PDT 2019","Sun Apr 28 11:33:28 PDT 2019","Sun May 05 11:33:28 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","149","100% (1/1)","100% (1/1)","100% (1/1)","000000548875","5493ae6d-a33d-20a7-3c6a-a0d60ababeba"
"3BO3NEOQM0CH6N7A70BTSQLPL5MIA4","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3PS7W85Z80XVW2BAZ81YYM81Y1GT9S","A3822BB341LIB2","Approved","Sun Apr 28 11:31:04 PDT 2019","Sun Apr 28 11:37:58 PDT 2019","Sun May 05 11:37:58 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","414","100% (1/1)","100% (1/1)","100% (1/1)","000000547662","fc0dbcfe-5e89-19d7-309d-03d8e0197836"
"3LCXHSGDLT19QERISH7TSBH3FIMSE1","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3KXIR214I5B0FXBLZYLBGROVCWT24H","A2A52EATFDQJ1P","Approved","Sun Apr 28 12:00:17 PDT 2019","Sun Apr 28 12:09:03 PDT 2019","Sun May 05 12:09:03 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","526","100% (1/1)","100% (1/1)","100% (1/1)","000000536127","f007332f-912b-cea8-f31e-dc6c44e39124"
"3GV1I4SEO9KI9M3D2QRU41BV6QQL6V","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","345LHZDEDYNOHD1JI4QYC5RHHNP3UO","AXKZ8V9P8IABK","Approved","Sun Apr 28 12:51:49 PDT 2019","Sun Apr 28 12:59:20 PDT 2019","Sun May 05 12:59:20 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","451","100% (1/1)","100% (1/1)","100% (1/1)","000000523495","b80c83dd-34e2-cf4b-56a8-6c47bac6deb7"
"3QTFNPMJC6DALWQ9G84KER8FGPNNZQ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","36V4Q8R5ZLVXB62C7DB8Y33YEU5QMT","A3DZEICLZNLJVK","Approved","Sun Apr 28 13:28:41 PDT 2019","Sun Apr 28 13:35:27 PDT 2019","Sun May 05 13:35:27 PDT 2019","Sun Apr 28 16:02:37 PDT 2019","","","406","100% (1/1)","100% (1/1)","100% (1/1)","000000520883","a4b5ced3-1077-4cc9-42ca-7cd11246be19"
"3G4VVJO6PZBFZM30WME2V1PXCVBPK2","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3AAJC4I4FHNGOQXIRCHT94NLF2FJZU","A145Z2L40FAB8J","Approved","Sun Apr 28 11:32:50 PDT 2019","Sun Apr 28 11:40:41 PDT 2019","Sun May 05 11:40:41 PDT 2019","Sun Apr 28 16:02:37 PDT 2019","","","471","100% (1/1)","100% (1/1)","100% (1/1)","000000514295","c8900c59-0676-1204-c2a8-e7d51f5ef90c"
"3BVS8WK9Q0QMPXC2DEBPN15V3N7IBZ","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3WJ1OXY92BBQ31TROG433LNYQ6KA86","A3T1HT3DMZBDWW","Approved","Sun Apr 28 12:20:38 PDT 2019","Sun Apr 28 13:01:20 PDT 2019","Sun May 05 13:01:20 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","2442","67% (2/3)","67% (2/3)","67% (2/3)","000000476347","93e3eb04-2077-7b7a-80a3-6130bc51f23d"
"301KG0KX9CGS5P1MO30TMW1C94G2HP","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3KIBXJ1WD6PZ06PT7O6OULGUANKOK4","A2KULPQLIRYC9D","Approved","Sun Apr 28 12:37:26 PDT 2019","Sun Apr 28 12:44:40 PDT 2019","Sun May 05 12:44:40 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","434","100% (1/1)","100% (1/1)","100% (1/1)","000000473588","7902c1f6-8659-4aae-515a-3b242e559843"
"3Y7LTZE0YTHNGMAID9G6SM09OLGUZP","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","31N2WW6R9SLZYV4TNFVZQ5QE7013FG","A37VN02VTEQIQ7","Approved","Sun Apr 28 11:48:05 PDT 2019","Sun Apr 28 11:51:40 PDT 2019","Sun May 05 11:51:40 PDT 2019","Sun Apr 28 16:02:38 PDT 2019","","","215","100% (1/1)","100% (1/1)","100% (1/1)","000000471332","92d52bfe-7191-8332-4bd1-9dc6f8086d35"
"3LN50BUKPV6QJSLIHMQ3A12C1VGPL5","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:38 PDT 2019","","","39RP059MEIOA700NOVEI3E8ZSTXMB4","ABJEQJY0SSXX6","Rejected","Sun Apr 28 12:38:50 PDT 2019","Sun Apr 28 12:51:34 PDT 2019","Sun May 05 12:51:34 PDT 2019","","Sun Apr 28 16:02:38 PDT 2019","Your survey code is invalid. Click on the red button and the survey code will appear on the right. Afterwards, input the survey code into AMT platform","764","0% (0/1)","0% (0/1)","0% (0/1)","000000452380","*********"
"3LN50BUKPV6QJSLIHMQ3A12C1VGPL5","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:38 PDT 2019","","","3J88R45B2HTN5601L7YS9FTMG36XPY","A5P4NZBHLQIU5","Submitted","Sun Apr 28 18:05:20 PDT 2019","Sun Apr 28 18:18:47 PDT 2019","Sun May 05 18:18:47 PDT 2019","","","","807","0% (0/0)","0% (0/0)","0% (0/0)","000000452380","6d22a228-b375-352e-6e36-c8a9db6444ab"
"304QEQWKZPFV1WKVDTR5NH5YOS9O0E","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:39 PDT 2019","","","3E7TUJ2EGDHOFDFDDI1JTIQFVG69D5","A1CW0W7Q2NLDDJ","Submitted","Sun Apr 28 17:07:19 PDT 2019","Sun Apr 28 17:14:35 PDT 2019","Sun May 05 17:14:35 PDT 2019","","","","436","0% (0/0)","0% (0/0)","0% (0/0)","000000444166","ff2b8163-df5f-5102-d1d5-5475d2a90247"
"304QEQWKZPFV1WKVDTR5NH5YOS9O0E","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","2","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 16:02:39 PDT 2019","","","3HRMW88U17L9NDXDQFHTJXCG1PT0MP","A3ANYKOQE1N4R","Rejected","Sun Apr 28 11:48:31 PDT 2019","Sun Apr 28 11:48:36 PDT 2019","Sun May 05 11:48:36 PDT 2019","","Sun Apr 28 16:02:39 PDT 2019","Your survey code is invalid. Click on the red button and the survey code will appear on the right. Afterwards, input the survey code into AMT platform","5","0% (0/6)","0% (0/6)","0% (0/6)","000000444166","452352524"
"3HXCEECSQMO4XVUNNADVV76MK9RZYS","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3Q5ZZ9ZEVPATXVHATKDMVA7CYSD85S","A16644NV37L66P","Approved","Sun Apr 28 11:30:28 PDT 2019","Sun Apr 28 11:37:19 PDT 2019","Sun May 05 11:37:19 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","411","100% (1/1)","100% (1/1)","100% (1/1)","000000441212","dab88574-34ce-b5d7-25f5-2b810c9df3ed"
"3ZXNP4Z39RG1DMHIL0WMAFBR11AL7U","33GOZHXTK7QLMJ0XHKWFU9VVK4HSF6","Talk to chatbot to edit image","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.50","Sun Apr 28 11:29:26 PDT 2019","1","BatchId:3623580;OriginalHitTemplateId:928390845;","3600","604800","Sun May 05 11:29:26 PDT 2019","","","3PJUZCGDJ7BCYIJMWAQ37QCEKOA89X","A3MCGKRH5KEZR8","Approved","Sun Apr 28 13:14:46 PDT 2019","Sun Apr 28 13:33:07 PDT 2019","Sun May 05 13:33:07 PDT 2019","Sun Apr 28 16:02:39 PDT 2019","","","1101","100% (1/1)","100% (1/1)","100% (1/1)","000000439906","75198632-2fa2-5ff2-d917-ecbb1d7808ef"
